일주,항목,내용,남자,여자,조건,결과,조건식
甲子,01,초봄의 기운이요 새로운 것을 가져다주는 놀람으로 차가운 한기를 물러나게 하고. 만물을 화생하게 하는 능력을 가졌으며. 생기발랄하고 어떤 어려운 상황도 헤쳐 나가는 힘이있습니다. 표현력에 절제가 있고 인내 노력을 통하여 매사를 긍정적으로 풀어 나가는 사람이며.  고상한 것에 뜻을 두고 살아가는 모양이라 세속의 일에 능숙하지 못한 단점이 있습니다. ,,,팔자 내에 토의 기운이 약하면,재물의 생리를 잘 알지 못하므로 노력을 못하는 것이 아니라. 정착 하지 못하여 여러 가지 일을 해보게 됩니다.,if (nr_oh3<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,02,어머니의 기운이 강하여 매사에 간섭하는 모양으로 결혼이 늦어지거나. 더디게 성공을 이루는 수가 많으며. 부친의 기운은 약하여 부친의 운세에 성패가 있는 수도 많고. 병으로 신고하는 경우도 있습니다.  남. 여 모두 자식 운은 적절할 것을 의미 합니다.,,,남자는 사주에 금의 기운이 없거나 매우 약하고. 여자는 수의 기운이 너무 강하면,자식의 건강이 다소 약할 수도 있습니다,if((gendr === '남양' && nr_oh4<2) || (gendr === '여음' && nr_oh5>2)){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,03,처음에는 능력 발휘가 더딜 수 있으나. 근본 인내 노력 형으로 긴 공부. 큰 시험에는 능력 발휘가 되어 좋은 학교 인연도 가능합니다. ,성공의 전공길 남자는 어학. 행정학. 토목. 전자 공학. 한의예. 정치. 외교학 등이 길합니다.,성공의 전공길 여자는 어학. 가정관리. 인문과학(철학. 역사. 고고학등). 자연과학 (천문학. 수학. 물리학)등이 길합니다.,사주에 토나 화의 기운이 약하거나 없다면,나무가 뿌리를 내리지 못하는 모양이라 처음에는 공부길 밝지 못합니다,if(nr_oh3<2 || nr_oh2<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,04,어머니의 간섭으로 연애가 있더라도 중매결혼이 많습니다. ,,,남자는 토가 많으면. ,일찍 연애 여러 번 있지만. 어머니와의 의견 갈등으로 결혼 늦어지는 수가 많고 좋은 배필의 인연은 약한 편입니다,if(gendr === '남양' && nr_oh3>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,04a,여자는 보통 현량한 남편을 만나게 됩니다. ,,,여자는 사주에 수가 많으면 ,여러 남자의 호감을 사고 배우자의 건강이 약할 수 도 있습니다,if(gendr === '여음' && nr_oh5>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,05,조직성이 강하여 조직 직장길 인연이 좋고 공직에도 어울리며 어느 사회 조직을 가더라도 잘 견디어 내는 편입니다. ,,,사주에 금의 기운이 약하면. ,글과 능력에 걸맞는 조직. 직장 인연이 약한 모양이라 부득이 교육. 육영분야 또는 자기 사업 인연하게 되는 수가 많습니다. ,if (nr_oh4<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,05a,사업길 인연하면 부동산. 건설. 토목. 화학. 전기. 전자. 인화성 물질 관련 분야에 성공이 있으며. 일찍 사업 인연했다면 재물을 정직하게 취하려 하므로 금융 분야(은행. 증권. 투신등)  또는 정직한 사업인연 하게 됩니다. ,,,금이 있더라도 토가 약하면.,한곳에 정착이 잘 되지 않는 모양이라 역마와 관련된 해운. 운수. 항공. 무역분야 등에 인연하기 쉽습니다. ,if (nr_oh3<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,06,근본 성품이 밝고 명랑하며 항상 고상한 것을 추구합니다. 도덕심. 책임감. 인내심등이 강하여 처음에는 실수 성패가 있지만 세월이 지나서 성공이 오는 형입니다.  매사 자기중심의 성향 때문에 크게. 멀리 보지 못하는 단점도 있으며. 침착하나 심약하고 주거가 자주 변할 수 있습니다.   ,,여자는 남모르는 연정도 있을 수 있습니다.,,,
甲子,07,물 위에 뜬 나무 와 같아 주거를 자주 옮기거나 부부의 인연이 바뀌는 등의 굴곡이 따를 가능성이 높습니다. 또 범선 이 연상되는 글자로 활동 무대가 넓은 편입니다. 한편으로 간질환이나. 겨울나무 와 같아 추위를 많이 타고 냉병이나 풍질에 노출되기 쉽습니다. 또한 큰 집안에 쥐떼가 모인 형태 로 이 사람은 배우고. 가르치는 일이 적성에 맞습니다.,,그래서 여자의 경우 자연유산이나 생리불순 등의 현상을 겪기 쉬우며 산후풍을 특히 조심해야 합니다. ,,,
甲子,08,1 甲子 (壬10 癸20)</br>浴 도화(桃花) 태극귀인(太極貴人) 평두(平頭) 효신(梟神)</br></br>일지 장성(將星)으로 자기 중심의 소견에 사로잡힌 고집이 대단하다. 子水의 상징은 인수(印綬)가 주가 되므로 지적 수준이 높은 편으로 보편적인 기준에서 지혜와 총명을 암시하는 길한 성분으로 볼 수 있다. 이는 중년의 학구열을 암시하기도 하며 상명(上命)은 교육계에서의 성공을 시사한다. 甲木은 제일선이니 주변의 성원에 힘입어 선두로 나서려는 기질이 강하다. 큰 나무 아래의 쥐는 사람을 다스리는 지도자의 상을 의미한다.</br>한편 효신(梟神)의 성분 또한 내재되어 있으므로. 인정이 많아 남 주기를 좋아하는 속성 이면에 편을 가르는 냉정함이 상존한다. 이해타산이 분명하며 자신의 속마음을 노출시키지 않는다. 이는 모친의 자애(慈愛)가 일찍이 유실되거나. 장년이 되어 모친으로 인한 근심걱정을 하게 됨을 암시한다. ,,여명(女命)의 효신(梟神)은 자식이 귀하니 자연유산이나 산후풍 (産後風)을 조심해야 한다.,여명(女命)은 축월(丑月)이나 축시(丑時). 자시(子時) 생이면. ,자녀를 두기 어렵다.,if (gendr === '여음' && (sj_mj === '丑' || sj_tj === '丑' || sj_tj === '子')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
