간지,일주(운성),납음오행,납음오행 해설,사대공망,순중공망,납음12운,납음12운 특성
甲子,甲子(沐),해중금 海中金(死),바다 가운데에 있는 큰 쇠붙이와 같이 큰 쇠덩어리와 같이 이름은 있으나 형체가 없는 것을 말합니다.,수,戌亥,자사(自死),납음십이운(納音十二運)의 사(死)에 해당하는데. 이날 출생한 사람은</br>고명(高明). 지혜(智慧). 유정(有情)하고 유순(柔順)하다. 그러나 신경과민(神經過敏)으로 힘들 수 있다.</br>학술(學術)과 기예(技藝)에 장점이 있으므로 학술기예(學術技藝)를 활용할 수 있는 업(業)을 삼으면 좋다.
乙丑,乙丑(衰),해중금 海中金(死),바다 가운데에 있는 큰 쇠붙이와 같이 큰 쇠덩어리와 같이 이름은 있으나 형체가 없는 것을 말합니다.,수,戌亥,자묘(自墓),납음십이운(納音十二運)의 묘(墓)에 해당하는데. 이날 출생한 사람은</br>오행자체(五行自体)가 근(根)에 돌아가는 형상(形象)이므로 축적심(蓄積心)이 많고. 검소(儉素)하며. 쓸 대 없는 일을 좋아하지 않는다. 원만주의자(圓滿主義者)이다.
丙寅,丙寅(長),노중화 爐中火(生),화로속에 있는 불기운으로 불씨를 의미하며 새로운 희망을 나타내기도 합니다.,수,戌亥,자생(自生),납음십이운(納音十二運)의 자생(自生)에 해당하는데. 이날에 출생한 사람은</br>모든 일에 민속(敏速)하고. 명랑(明朗)하며. 진취적(進取的)인 기풍(氣風)이 있다. 격국(格局)이 좋으면 평안(平安)하고 유복(裕福)하다.
丁卯,丁卯(病),노중화 爐中火(生),화로속에 있는 불기운으로 불씨를 의미하며 새로운 희망을 나타내기도 합니다.,수,戌亥,자패(自敗),납음십이운(納音十二運)의 목욕(沐浴)에 해당하는데. 이날에 출생한 사람은</br>경동(輕動)하여 실패(失敗)가 많으며 모든 일에 처음은 열의(熱意)가 있으나. 나중에는 태만(怠慢)하기 쉽고. 색욕(色慾)이 다소 왕성(旺盛)한 편이다.
戊辰,戊辰(冠),대림목 大林木(衰),울창한 숲속의 나무로 아량과 베품을 나타냅니다.,수,戌亥,자쇠(自衰),납음십이운(納音十二運)의 쇠(衰)에 해당하는데. 이날 출생한 사람은</br>성질(性質)은 온화(穩和)하며 분수(分數)를 지킬 줄 안다. 자중심(自重心)과 진취성(進取性)이 있으나 과욕(過慾)함이 없다.</br>그러나 시의심(猜疑心)이 있어서 스스로를 힘들게 한다.
己巳,己巳(帝),대림목 大林木(衰),울창한 숲속의 나무로 아량과 베품을 나타냅니다.,수,戌亥,자병(自病),납음십이운(納音十二運)의 병(病)에 해당하는데. 이날 출생한 사람은</br>내심(內心)은 화평(和平)하고 정숙(靜肅)하며. 모든 일을 괴롭게 생각하지 않는 면(面)이 있는데. 자신의 본분(本分)을 다하고. 의리(義理). 인정(人情). 동정심(同情心)이 있다.</br>고상(高尙)하고 멋이 있는 사람이지만 때로는 남을 질시(嫉視)하는 결점(缺點)이 있어 문제가 발생하기도 한다.
庚午,庚午(沐),노방토 路傍土(旺),동서남북으로 모두 길이 트인 땅을 나타내며 바쁘기만 하고 실속이 없음을 나타냅니다.,수,戌亥,자태(自胎),납음십이운(納音十二運)의 태(胎)에 해당하는데. 이날 출생한 사람은</br>타인(他人)에게 거역(拒逆)하지 않고. 그러려니 하는 성격(性格)이며. 상하(上下)를 대함에 있어 자비심(慈悲心)이 있다. </br>의협(義俠)과 관대(冠帶)의 기질(氣質)은 있으나. 시작과 끝이 일치하지 못한다. 타인(他人)에게 동정심(同情心)이 많으면. 자식(子息)에 대한 애정도 깊다.
辛未,辛未(衰),노방토 路傍土(旺),동서남북으로 모두 길이 트인 땅을 나타내며 바쁘기만 하고 실속이 없음을 나타냅니다.,수,戌亥,자양(自養),납음십이운(納音十二運)의 양(養)에 해당하는데. 이날 출생한 사람은</br>모든 일에 원만(圓滿)하고. 웃어른을 공경하며 아랫사람을 가엽게 여기고. 자부심(自負心)이 없다.</br>만사(萬事)에 타인(他人)을 이롭게 한 후에 자기(自己)가 이(利)를 취하는 성격(性格)이다.
壬申,壬申(長),검봉금 劍鋒金(祿),칼 끝에 서린 날카로움으로 좋은 일을 위해 봉사할 수도 있지만 다른 사람에게 상처를 줄수도 있는 양면성을 지닙니다.,수,戌亥,자임(自臨),납음십이운(納音十二運)의 건록(建祿)에 해당하는데. 이날 출생한 사람은</br>명랑(明朗)하고. 온후(溫厚)하다. 성품(性品)은 바르고 인정(人情)이 깊으며. 말은 원만(圓滿)하고. 활동가(活動家)이나. 내면(內面)은 다소 강(强)한 점이 있다.
癸酉,癸酉(病),검봉금 劍鋒金(祿),칼 끝에 서린 날카로움으로 좋은 일을 위해 봉사할 수도 있지만 다른 사람에게 상처를 줄수도 있는 양면성을 지닙니다.,수,戌亥,자왕(自旺),납음십이운(納音十二運)의 제왕(帝旺)에 해당하는데. 이날 출생한 사람은</br>자존심(自尊心)이 강(强)하고. 자기(自己)의 의사(意思)를 관철(貫徹)하려는 고집(固執)이 있다.</br>실천력(實踐力)이 강(强)하고. 자왕(自旺)하는 고로 실력(實力)은 자연(自然)히 후(厚)한 면이 있다.
