없는 육친,특성,비고
비견,주변에 친구가 없고 대인관계가 원만하지 못하며 이기적이고 경쟁심이 없고 의존성이 강하다(독립사업불가).,친구. 동료. 형제. 동업자
겁재,경쟁할 상대가 없고 투쟁성이 약하고 활동성이 떨어진다. 정치성과 투쟁성을 가진 육친으로 큰 일을 도모하는데 꼭 필요한 육친이다.,경쟁자. 이복형제. 남편의 첩
식신,식신은 재능의 별이고 제조. 생산. 양육으로도 보기 때문에 특별한 재주나 재능이 없고 제조 생산업의 인연이 없다. 남자는 아랫 사람이나 처갓집 덕이 없고. 여자는 아들과의 인연이 없거나 부족하다.,부하직원. 장모. 처갓집. 여자에게는 아들
상관,재능이 부족하고 건강이 좋지 못하고 제조 생산업에 부적합하다. 남자의 경우 부하직원의 덕이 없고. 여자의 경우 딸과의 인연이 부족하거나 인연이 없다. ,부하직원. 손녀. 처갓집. 여자에게는 딸
편재,편재는 풍류. 잡기. 상업과 관련이 있어서 남.녀 모두 상업과 인연이 약하거나 잡기에 능하지 못하다. 남자에게는 아버지나 첩이고 여자에게는 아버지를 뜻하므로 편재가 없다는 것은 해당 육친과의 인연이 없거나 약하다고 하겠다.,아버지. 첩. 여자에게 시어머니
정재,인간관계에서 남자에게는 부인이고. 여자에게는 시가집을 뜻하므로 남녀 모두 해당 육친과 인연이 없거나 약하고. 정재는 고정적인 수입과 재물을 뜻하므로 금전운이나 고정적인 수입과 인연이 없거나 약하다고 하겠다.,아내. 숙부. 고모. 여자에게 시댁
편관,인간관계에서 남자에게는 직장과 아들이고 여자에게는 애인과 직장을 뜻하므로 편관이 없다는 것은 남자는 아들과 인연이 없고 여자는 직장과 인연이 없거나 약하다고 하겠다 (물상 : 무력. 군인. 경찰. 검찰. 개혁. 과시).,직장. 아들. 외조모 여자에게 애인
정관,남녀 모두 좋은 직장과 인연이 없고 법과 질서를 잘 지키지 않는 경우가 많다. 인간관계에서 남자에게는 직장이고 딸이고 여자에게는 남편과 직장을 뜻하므로 남자는 직장과. 여자는 남편과 인연이 없거나 약하다고 하겠다 (물상 : 통솔. 지배. 처세. 정직. 단정. 모범. 정의).,직장. 딸. 여자에게 남편
편인,인간관계에서 계모. 이모. 유모를 뜻하며 눈치. 재치. 인내심과 통제력. 문서재산을 뜻하므로 해당 인연이 없거나 약하다고 하겠다 (물상 : 눈치. 용두사미. 처세. 머리비상).,계모. 이모. 유모
정인,정인은 모친. 학문. 결재권을 뜻하므로 해당 인연이 없거나 약하다고 하겠다 (물상 : 모성애. 학식. 덕성. 자비. 생산. 학문. 종교).,모친
