절입시각(도쿄), 월, 월지, 절기, 일수, 절입시각(서울), 일수(보정)
1908-02-05 13:48, 1, 인, 입춘, 29.76806, 1908-02-05 13:50, 29.76806
1908-03-06 08:14, 2, 묘, 경칩, 30.22639, 1908-03-06 08:16, 30.225
1908-04-05 13:40, 3, 진, 청명, 30.74861, 1908-04-05 13:40, 30.74861
1908-05-06 07:38, 4, 사, 입하, 31.19514, 1908-05-06 07:38, 31.19514
1908-06-06 12:19, 5, 오, 망종, 31.43681, 1908-06-06 12:19, 31.43681
1908-07-07 22:48, 6, 미, 소서, 31.40208, 1908-07-07 22:48, 31.40208
1908-08-08 08:27, 7, 신, 입추, 31.10069, 1908-08-08 08:27, 31.10069
1908-09-08 10:52, 8, 유, 백로, 30.62431, 1908-09-08 10:52, 30.62431
1908-10-09 01:51, 9, 술, 한로, 30.10486, 1908-10-09 01:51, 30.10486
1908-11-08 04:22, 10, 해, 입동, 29.68194, 1908-11-08 04:22, 29.68194
1908-12-07 20:44, 11, 자, 대설, 29.45347, 1908-12-07 20:44, 29.45347
1909-01-06 07:37, 12, 축, 소한, 29.47778, 1909-01-06 07:37, 29.47778
1909-02-04 19:05, 1, 인, 입춘, 29.76458, 1909-02-04 19:05, 29.76458
1909-03-06 13:26, 2, 묘, 경칩, 30.23056, 1909-03-06 13:26, 30.23056
1909-04-05 18:58, 3, 진, 청명, 30.75625, 1909-04-05 18:58, 30.75625
1909-05-06 13:07, 4, 사, 입하, 31.2, 1909-05-06 13:07, 31.2
1909-06-06 17:55, 5, 오, 망종, 31.44097, 1909-06-06 17:55, 31.44097
1909-07-08 04:30, 6, 미, 소서, 31.41042, 1909-07-08 04:30, 31.41042
1909-08-08 14:21, 7, 신, 입추, 31.1125, 1909-08-08 14:21, 31.1125
1909-09-08 17:03, 8, 유, 백로, 30.63403, 1909-09-08 17:03, 30.63403
1909-10-09 08:16, 9, 술, 한로, 30.10486, 1909-10-09 08:16, 30.10486
1909-11-08 10:47, 10, 해, 입동, 29.67083, 1909-11-08 10:47, 29.67083
1909-12-08 02:53, 11, 자, 대설, 29.44028, 1909-12-08 02:53, 29.44028
1910-01-06 13:27, 12, 축, 소한, 29.47778, 1910-01-06 13:27, 29.47778
1910-02-05 00:55, 1, 인, 입춘, 29.76389, 1910-02-05 00:55, 29.76389
1910-03-06 19:15, 2, 묘, 경칩, 30.23056, 1910-03-06 19:15, 30.23056
1910-04-06 00:47, 3, 진, 청명, 30.75556, 1910-04-06 00:47, 30.75556
1910-05-06 18:55, 4, 사, 입하, 31.20069, 1910-05-06 18:55, 31.20069
1910-06-06 23:44, 5, 오, 망종, 31.44028, 1910-06-06 23:44, 31.44028
1910-07-08 10:18, 6, 미, 소서, 31.40972, 1910-07-08 10:18, 31.40972
1910-08-08 20:08, 7, 신, 입추, 31.11389, 1910-08-08 20:08, 31.11389
1910-09-08 22:52, 8, 유, 백로, 30.63403, 1910-09-08 22:52, 30.63403
1910-10-09 14:05, 9, 술, 한로, 29.68819, 1910-10-09 14:05, 29.68819
1910-11-08 06:36, 10, 해, 입동, 30.0875, 1910-11-08 06:36, 30.0875
1910-12-08 08:42, 11, 자, 대설, 29.44097, 1910-12-08 08:42, 29.44097
1911-01-06 19:17, 12, 축, 소한, 29.47778, 1911-01-06 19:17, 29.47778
1911-02-05 06:45, 1, 인, 입춘, 29.76389, 1911-02-05 06:45, 29.76389
1911-03-07 01:05, 2, 묘, 경칩, 30.22986, 1911-03-07 01:05, 30.22986
1911-04-06 06:36, 3, 진, 청명, 30.75556, 1911-04-06 06:36, 30.75556
