년도,누적일,1,2,3,4,5,6,7,8,9,10,11,12,13
1881,0,1,2,1,2,1,2,2,3,2,2,1,2,1
1882,384,1,2,1,2,1,2,1,2,2,1,2,2,0
1883,739,1,1,2,1,1,2,1,2,2,2,1,2,0
1884,1093,2,1,1,2,1,3,2,1,2,2,1,2,2
1885,1477,2,1,1,2,1,1,2,1,2,1,2,2,0
1886,1831,2,1,2,1,2,1,1,2,1,2,1,2,0
1887,2185,2,2,1,2,3,2,1,1,2,1,2,1,2
1888,2569,2,1,2,2,1,2,1,1,2,1,2,1,0
1889,2923,2,1,2,2,1,2,1,2,1,2,1,2,0
1890,3278,1,2,3,2,1,2,2,1,2,1,2,1,2
1891,3662,1,2,1,2,1,2,1,2,2,1,2,2,0
1892,4017,1,1,2,1,1,2,3,2,2,1,2,2,2
1893,4401,1,1,2,1,1,2,1,2,1,2,2,2,0
1894,4755,1,2,1,2,1,1,2,1,2,1,2,2,0
1895,5109,2,1,2,1,2,3,1,2,1,2,1,2,1
1896,5492,2,2,2,1,2,1,1,2,1,2,1,2,0
1897,5847,1,2,2,1,2,1,2,1,2,1,2,1,0
1898,6201,2,1,2,3,2,2,1,2,1,2,1,2,1
1899,6585,2,1,2,1,2,1,2,2,1,2,1,2,0
1900,6940,1,2,1,1,2,1,2,2,3,2,2,1,2
1901,7324,1,2,1,1,2,1,2,1,2,2,2,1,0
1902,7678,2,1,2,1,1,2,1,2,1,2,2,2,0
1903,8033,1,2,1,2,1,3,2,1,1,2,2,1,2
1904,8416,2,2,1,2,1,1,2,1,1,2,2,1,0
1905,8770,2,2,1,2,2,1,1,2,1,2,1,2,0
1906,9125,1,2,2,1,4,1,2,1,2,1,2,1,2
1907,9509,1,2,1,2,1,2,2,1,2,1,2,1,0
1908,9863,2,1,1,2,2,1,2,1,2,2,1,2,0
1909,10218,1,2,3,1,2,1,2,1,2,2,2,1,2
1910,10602,1,2,1,1,2,1,2,1,2,2,2,1,0
1911,10956,2,1,2,1,1,2,3,1,2,2,1,2,2
1912,11340,2,1,2,1,1,2,1,1,2,2,1,2,0
1913,11694,2,2,1,2,1,1,2,1,1,2,1,2,0
1914,12048,2,2,1,2,2,3,1,2,1,2,1,1,2
1915,12432,2,1,2,2,1,2,1,2,1,2,1,2,0
