일간,천간,합화오행,구분,일간심리,일간의 배우자상,일간의 일반적 특성,일간합,합화생,합화극,원국일간합과 행운합,병적 증세
甲,己,토,남명(정재합 시간),재성심리,모성애/헌신적 여성(己),안정 정직 순리,甲己,己,甲,甲합과 甲木투합행운,위장장애 무력증
乙,庚,금,여명(정관합 월간),관성심리,의협심/순정파 남성(庚),규범 행동 체면,乙庚,庚,乙,庚합과 庚金투합행운,편두통 어지럼증 빙의
丙,辛,수,남명(정재합 시간),관성심리,이지적/세련된 여성(辛),원칙 정도 순수,丙辛,,丙辛,丙합과 丙火투합행운,피부병 기관지 천식
丁,壬,목,여명(정관합 월간),인성심리,이해심/이지적 남성(壬),직관 수용 과정,丁壬,丁,壬,壬합과 壬水투합행운,심혈관질환 조울증
戊,癸,화,남명(정재합 시간),인성심리,감성적/순종적 여성(癸),한길 소극 정적,戊癸,戊,癸,戊합과 戊土투합행운,신장병 혈류병 산액 중독증
己,甲,토,여명(정관합 월간),비견심리,자존심/진취적 남성(甲),주관 독창 직선,甲己,己,甲,甲합과 甲木투합행운,위장장애 무력증
庚,乙,금,남명(정재합 시간),비견심리,생활력/현실적 여성(乙),경쟁 고집 자존,乙庚,庚,乙,庚합과 庚金투합행운,편두통 어지럼증 빙의
辛,丙,수,여명(정관합 월간),식상심리,인간미/털털한 남성(丙),감성 배려 감동,丙辛,,丙辛,丙합과 丙火투합행운,피부병 기관지 천식
壬,丁,목,남명(정재합 시간),식상심리,활동적/명랑한 여성(丁),활발 창조 적극,丁壬,丁,壬,壬합과 壬水투합행운,심혈관질환 조울증
癸,戊,화,여명(정관합 월간),재성심리,포용력/듬직한 남성(戊),유동 결과 실리,戊癸,戊,癸,戊합과 戊土투합행운,신장병 혈류병 산액 중독증
