일간/ 일지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
甲, 진신 효신,, 간여지동 고란 남연 음욕 일덕,, 괴강 재고귀인,, 단장관 진신 의처의부,, 남연,, 괴강,
乙,, 여연,, 간여지동 음욕,, 고란 의처의부,, 단장관,, 이전최화,, 효신
丙, 교신 음양차착 음양,, 효신,, 괴강 단장관 일덕 취명관,, 간여지동 교신 음양차착 육수 일인,, 여연,, 괴강 의처의부 재고귀인,
丁,, 남연 여연 퇴신 음양차착 재고귀인,, 효신,, 간여지동 고란 단장관,, 육수 음욕 퇴신 음양차착,, 일귀,, 일귀 의처의부
戊, 육수,, 복신 음양차착,, 간여지동 괴강 일덕 의처의부,, 육수 일인 효신 음양,, 고란 남연 복신 음양차착,, 간여지동 괴강 음욕 재고귀인,
己,, 간여지동 남연 육수 재고귀인,, 단장관 이전최화 진신,, 효신,, 간여지동 여연 육수 음욕,, 진신,, 취명관 의처의부
庚,,, 단장관 여연,, 괴강 일덕 효신 의처의부,,,, 간여지동 음욕,, 괴강 효신,
辛,, 효신,, 교신 음양차착,, 의처의부,, 남연 여연 효신 재고귀인,, 간여지동 교신 음양차착 음욕,, 고란
壬, 간여지동 일인,, 남연 여연,, 괴강 퇴신 음양차착,,,, 여연 효신,, 괴강 일덕 퇴신 음양차착 의처의부 재고귀인,
癸,, 단장관 음욕,, 일귀,, 복신 음양차착 일귀,, 남연,, 효신,, 간여지동 복신 음양차착 의처의부
