일지/ 지지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
子, 장성살, 반안살, 역마살 격각 고신, 육해살, 화개살, 겁살, 재살 수옥, 천살, 지살, 연살 귀문, 월살 과숙, 망신살
丑, 육해살, 화개살, 겁살 고신, 재살 수옥 격각, 천살, 지살, 연살 귀문 탕화, 월살 탕화, 망신살, 장성살, 반안살 과숙 탕화, 역마살
寅, 재살 수옥, 천살 과숙, 지살 탕화, 연살, 월살 격각, 망신살 고신 탕화, 장성살, 반안살, 역마살 탕화, 육해살, 화개살, 겁살
卯, 연살, 월살 과숙, 망신살, 장성살, 반안살, 역마살 격각 고신, 육해살, 화개살, 겁살, 재살 수옥, 천살, 지살
辰, 장성살, 반안살 과숙, 역마살, 육해살, 화개살, 겁살 고신, 재살 수옥 격각, 천살, 지살, 연살, 월살, 망신살 귀문 원진
巳, 육해살, 화개살, 겁살, 재살 수옥, 천살 과숙, 지살, 연살, 월살 격각, 망신살 고신, 장성살, 반안살 귀문 원진, 역마살
午, 재살 수옥, 천살 원진 탕화, 지살, 연살, 월살 과숙 탕화, 망신살, 장성살 탕화, 반안살, 역마살 격각 고신, 육해살, 화개살, 겁살
未, 연살 원진, 월살, 망신살 귀문, 장성살, 반안살 과숙, 역마살, 육해살, 화개살, 겁살 고신, 재살 수옥 격각, 천살, 지살
申, 장성살, 반안살, 역마살, 육해살 귀문 원진, 화개살, 겁살, 재살 수옥, 천살 과숙, 지살, 연살, 월살 격각, 망신살 고신
酉, 육해살, 화개살, 겁살 원진, 재살 수옥, 천살, 지살, 연살, 월살 과숙, 망신살, 장성살, 반안살, 역마살 격각 고신
戌, 재살 수옥 격각, 천살, 지살, 연살, 월살, 망신살, 장성살, 반안살 과숙, 역마살, 육해살, 화개살, 겁살 고신
亥, 연살, 월살 격각, 망신살 고신, 장성살, 반안살, 역마살, 육해살, 화개살, 겁살, 재살 수옥, 천살 과숙, 지살
