천간합,甲己,乙庚,丙辛,丁壬,戊癸,
합화,토,금,수,목,화,
관계,양:정재 음:정관,양:정재 음:정관,양:정재 음:정관,양:정재 음:정관,양:정재 음:정관,
설명,중정지합(中正之合),인의지합(仁義之合),위엄지합(威嚴之合),인수지합(仁壽之合),무정지합(無情之合),
조건,인접위치 일간불합(불변) 토(진술축미)월에만 합화된다. 화오행이 월지 또는 대운지지의 오행과 다르면 합이불화(合而不化)합니다.,인접위치 일간불합(불변) 금(사유축 이나 신)월에만 합화된다. 화오행이 월지 또는 대운지지의 오행과 다르면 합이불화(合而不化)합니다.,인접위치 일간불합(불변) 수(신자진 이나 해)월에만 합화된다. 화오행이 월지 또는 대운지지의 오행과 다르면 합이불화(合而不化)합니다.,인접위치 일간불합(불변) 목(해묘미 나 인)월에만 합화된다. 화오행이 월지 또는 대운지지의 오행과 다르면 합이불화(合而不化)합니다.,인접위치 일간불합(불변) 화(인오술 이나 사)월에만 합화된다. 화오행이 월지 또는 대운지지의 오행과 다르면 합이불화(合而不化)합니다.,
천간충,庚甲,辛乙,壬丙,癸丁,,
관계,토:없음 목화:편관 금수:편재,토:없음 목화:편관 금수:편재,토:없음 목화:편관 금수:편재,토:없음 목화:편관 금수:편재,,
조건,합을 방해,합을 방해,합을 방해,합을 방해,,
천간극,甲戊,乙己,丙庚,丁辛,戊壬,己癸
관계,편재,편재,편재,편재,편재,편재
지지충,子午,丑未,寅申,卯酉,辰戌,巳亥
조건,합을 방해,합을 방해,합을 방해,합을 방해,합을 방해,합을 방해
지지육합,子丑,寅亥,卯戌,辰酉,巳申,午未
합화,토,목,화,금,수,화
지지삼합,寅午戌,申子辰,巳酉丑,亥卯未,,
합화,화,수,금,목,,
지지방합,寅卯辰,巳午未,申酉戌,亥子丑,,
합화,목,화,금,수,,
간지암합,丁亥,戊子,辛巳,壬午,,
관계,기본:천간합(丁壬),기본:천간합(戊癸),기본:천간합(丙辛),기본:천간합(丁壬),,
조건,인접위치,인접위치,인접위치,인접위치,,
지지암합,子戌,丑寅,卯申,寅未,午亥,
관계,기본:천간합(戊癸),기본:천간합(甲己),기본:천간합(乙庚),기본:천간합(甲己),기본:천간합(丁壬),
조건,인접위치,인접위치,인접위치,인접위치,인접위치,
