卯戌, 합, 지지
卯酉, 충, 지지
卯辰, 해, 지지
未寅, 귀암, 지지
未子, 해원, 지지
巳戌, 원귀, 지지
巳申, 합형파, 지지
巳亥, 충, 지지
戌未, 형파, 지지
戌酉, 해, 지지
戌子, 암, 지지
申卯, 원귀암, 지지
申亥, 해, 지지
午卯, 파, 지지
午未, 합, 지지
午午, 형, 지지
午亥, 암, 지지
酉酉, 형, 지지
酉子, 파귀, 지지
寅巳, 형해, 지지
寅申, 충형, 지지
寅酉, 원, 지지
寅亥, 합파, 지지
子卯, 형, 지지
子午, 충, 지지
子丑, 합, 지지
辰戌, 충, 지지
辰酉, 합, 지지
辰辰, 형, 지지
辰亥, 원귀, 지지
丑未, 충형, 지지
丑戌, 형, 지지
丑午, 해원귀, 지지
丑寅, 암, 지지
丑辰, 파, 지지
亥亥, 형, 지지
寅巳申, 형, 지지
丑戌未, 형, 지지
甲庚, 충, 천간
甲己, 합, 천간
甲戊, 극, 천간
己癸, 극, 천간
戊癸, 합, 천간
戊壬, 극, 천간
丙庚, 극, 천간
丙辛, 합, 천간
丙壬, 충, 천간
乙辛, 충, 천간
乙庚, 합, 천간
乙己, 극, 천간
丁癸, 충, 천간
丁辛, 극, 천간
丁壬, 합, 천간
甲午, 명, 간지
癸巳, 명, 간지
己亥, 명, 간지
戊子, 명, 간지
辛巳, 명, 간지
壬午, 명, 간지
丁亥, 명, 간지
