지지,지지h,오행,음양,이름,색,여기,중기,정기,충,육합,육화,삼합,삼화,방합,방화
자,子,수,음,자음수,#999,임,,계,오,축,토,신진,수,해축,수
축,丑,토,음,축음토,#fc6,계,신,기,미,자,토,사유,금,해자,수
인,寅,목,양,인양목,#3c3,무,병,갑,신,해,목,오술,화,묘진,목
묘,卯,목,음,묘음목,#3c3,갑,,을,유,술,화,해미,목,인진,목
진,辰,토,양,진양토,#fc6,을,계,무,술,유,금,신자,수,인묘,목
사,巳,화,양,사양화,#f00,무,경,병,해,신,수,유축,금,오미,화
오,午,화,음,오음화,#f00,병,기,정,자,미,화,인술,화,사미,화
미,未,토,음,미음토,#fc6,정,을,기,축,오,화,해묘,목,사오,화
신,申,금,양,신양금,#fff,무,임,경,인,사,수,자진,수,유술,금
유,酉,금,음,유음금,#fff,경,,신,묘,진,금,사축,금,신술,금
술,戌,토,양,술양토,#fc6,신,정,무,진,묘,화,인오,화,신유,금
해,亥,수,양,해양수,#999,무,갑,임,사,인,목,묘미,목,자축,수
