십성,십성h,성격f1(月支)십성별,성격f2(月支)십성별,성격f3(月支)십성별,성격f4(月支)십성별,성격h1(日支)배우자성격,성격h2(日支)배우자성격
비견,比肩,월지에 비견이 있으면 온화하고 솔직하며 꾸밈이 없다. ,내기를 좋아하고 동작이 빠르며 승부욕이 매우 강하다. ,비견이 많으면 자존심이 강하고 사회성이 떨어지며 난폭하고 ,충을 맞으면 대인관계가 안 좋고 다툼을 좋아한다. ,고집이 세고. 개성이 강해 배우자와 원만하기 힘듭니다.​,일지에 비견이 있으면 남성은 처궁에 비견이 있는 것이므로. 재성. 즉 아내와 정반대의 오행이 아내의 자리에 차지하고 있어서 혼담에 이상이 생기게 된다.늦게 결혼하거나 결혼 후에도 부부간에 불화하기 쉽다. 여성은 신랑자리에 비견이 있어 부성인 관성과 상극이 되어 부부간에 갈등이 많다. 성격이 자존심이 강하고 완고하여 남편을 잘 섬기지 모하고 가정 생활에 흠이 생긴다. 항상 남들과 말다툼을 많이 하는 편이어서 시끄러운 일들이 끊이지 않는다. 말조심하지 않고 남편을 존중해주지 않는 다면 40대 중반 이후에 가장 파탄이 예상 된다. 부부간에 남들보다 몇 배의 노력을 기울여야 이를 극복할 수 있다.남녀를 불문하고 독신주의자가 많고. 결혼 전에 동거를 하거나 임신 후에 결혼을 하거나 아이를 낳고 나서 결혼하는 사람이 많다. 특히  庚申일 辛酉일에 이런 사람이 많은 편이다. 결혼 후에 부부간에 불화가 심하면 별거를 하거나 중년 이후에 생이별 또는 사별을 할 수가 있다. 그러나 사주가 신약하면 위의 모든 흉한 액을 면할 수 있다.사주 서적에 '간여지동은 위화백단'이라 하였으니 일주의 간지가 같으면 부부간에 많은 문제가 발생한다는 뜻이다. 부부간의 불화뿐만 아니라 부친과의 관계도 좋지 않아 일찍 헤어지거나 사별하는 사람이 많다. 궁합을 보아 상대방의 일지가 비견이라면 남들보다 몇배의 노력을 해야 가정 생활을 원만하게 할 수가 있다. 남성은 처가살이나 데릴사위가 되는 수도 있고 아내가 권한을 강하게 주장하는 사람일 가능성이 크다. 여성은 고란살과 같이 있으면 결혼 후 독수공방의 신세가 되거나 별거를 많이 하는 등 남편과 떨어져 살게 된다. 
겁재,劫財,월지에 겁재나 양인이 있으면 특별한 재능을 지니며 크게 일을 벌일 수 있는 힘이 있는 것으로 판단한다. ,경쟁력이 뛰어나고 지는 것을 싫어하며 운에 따라 큰 재물을 모으는 원동력으로 본다. ,겁재가 많으면 인간성이 졸렬하고 겉으로는 웃지만 속은 사악한 사람이 많다. ,투쟁심이 강하고 담백하고 솔직한 사람이 많다. ,자신 위주이고. 배우자와 정이 얕으며. 충동적이므로 원만하지 못합니다. 만일에 양인이면 일반 겁재보다 더 공격적입니다.​,사주에서 일지는 배우자궁인데 일지에 겁재가 있으면 배우자와의 관계가 좋지 않다. 대운에서 일지를 충하면 서로 별거하거나 헤어지게 된다. 배우자의 학력이 높지 않은 사람이 많으며 용모가 단정하지 않다. 아이를 출산할 때 산액이 예상되며 수술을 받거나 병이 들어 약하게 된다.남성의 경우 특히 아내덕을 보지 못한다. 일지가 겁재라면 먼저 자신을 반성하며 더욱 노력해야 좋은 부부관계를 유지할 수 있다. 사주가 신약할 때는 오히려 좋은 배우자를 만나게 되고 극진한 내조를 받게 된다. 
식신,食神,월지에 식신이 있으면 성격이 온화하고 너그러우며 명랑하고 풍류를 좋아한다. ,표현력이 뛰어나고 식복이 많으며 재주가 비상하고 총명하다. ,식신이 많으면 재주는 많으나 헛고생을 많이 하고 발전성이 없다. 식신이 너무 많으면 재주는 많으나 특별한 재주가 없는 사람으로 어렵게 살아가는 경우가 많다. ,대체로 후덕한 성격의 소유자로 많은 사람과 교제를 한다. ,성격이 무난하고 배우자와 원만합니다.​,일지에 식신이 있으면 남녀 모두 배우자의 몸이 통통하게 살이 쪄 있고 인물이 좋다. 그리고 배우자의 마음이 너그럽고 성품이 온후한 편이다. 일지에 충이나 형이 없어야 복록이 많고 의식주가 넉넉하며 자식이 훌륭하게 된다. 부부간에 서로 위해주고 내조를 잘한다. 그러나 일지가 형충이 되면 이와 반대로 배우자의 몸이 약하고 자식이 잘 되지 않으며 사고를 당하는 수도 있다. 심하면 자식을 가지기가 어렵다. 여자는 대개 음식 솜씨가 좋고 현묘양처로 내조를 잘한다. 그리고 대인 관계가 원만하고 좋은 부부관계를 유지해 부부가 해로하게 된다. 
상관,傷官,월지에 상관이 있으면 천재성을 지니며 행동이 민첩하고 자존심이 매우 강하다. ,법과 질서를 지키기 싫어하고 자기만의 세계에 빠지는 경향이 있고 상관이 많으면 교만하지만 숨김이 없고 말이 많다. ,조직생활이 힘들고 개인적이며 충동적이고 유흥을 좋아한다. ,사주에 관성이 없으면 뜻이 크고 거만하다. 사주에 재성이 없으면 잔재주에 능하다. ,상대를 무시하는 경향이 강하고 여자는 남편을 우습게 봅니다.​,상관은 다른 사람에게는 정이 있으나 나의 기운을 빼내는 신이기 때문에 흉신으로 작용한다. 상관은 여성에게는 자식에 해당되는 남편자리에 자식이 있는 것과 같고. 남성에게는 자식에 해당되는 관성을 깨트리는 신이 된다.여성의 일지에 상관이 있으면 남편성을 깨트리는 신이 있는 것이므로 사주에 정관이나 편관을 보게 되면 반드시 결혼 인연이 좋지 않고. 만약 결혼을 하더라도 결혼생활이 원만하지 못하다. 정관이나 편관이 없으면 대운에서 정관과 상관이 충하는 때에 부부 금슬에 이상이 생기고 심하면 별거나 이별을 하게 된다.여성은 재주가 많고 능력도 있는데 특히 돈 버는 재주가 비상하다. 용모는 비록 아름다우나 관재구설이 많이 따른다. 언변술이 있고 행동이 민첩한 편이다. 자존심이 강하고 남자한테 지지 않으려고 하기 때문에 다툼이 잦은 편이다. 여성으로 인하여 남편이 사고를 잘 당하며 신경 쇠약에 걸리기도 한다.남성의 운도 여성의 내용과 비슷하고 특히 대운에서 일지를 충하게 되면 자손이 사고를 당하게 된다. 부부금슬이 좋지 않고 40대 중반에 별거 및 이별이 예견된다. 특별히 이해하고 노력을 많이 해야 정상적인 가정을 가질 수가 있다. 그러나 사주가 신강하고 상관이 있을 때는 얼굴이 예쁜 부인을 맞을 수 있고 훌륭한 내조를 받는다. 
편재,偏財,월지에 편재가 있으면 사업성이 강하며 술과 여자를 좋아한다. ,남의 일에 참견하기를 좋아하며 말이 많다. 활동성이 강하여 돌아다니기를 좋아한다. ,투기성이 있고 민첩하며 기교가 있으면서 빈틈이 없다. ,편재가 많으면 욕심이 많고 돈을 잘 쓰며 낭비가 심하다. ,돈을 쫒아 외부에서 활동하는 경향이 강하고. 여자도 사회활동을 해야 마음과 가정이 편하게 됩니다.​,사주의 일지에 편재가 있으면 처덕을 크게 본다고 하였다. 그러나 사주가 중화되었거나 신왕해야지 신약하면 처덕을 보지 못한다. 신약하면 오히려 아내와 재물로 인하여 치욕스러운 일을 겪게 된다. 남성은 사주가 중화되어 있어야 좋다. 사주가 중화되고 천덕귀인이나 월덕귀인이 있으면 현숙하고 성품이 선량한 사람을 배우자로 맞아 일생 동안 행복한 결혼 생활을 할 수 있다. 십이운성의 장성과 같이 있으면 명문가의 규수와 인연이 있다. 생활 태도는 낭만적이고 기분에 따라 즉흥적으로 일처리를 잘하며 명랑하다. 하지만 사람을 무시하는 습성이 내재되어 있고 본부인 이외의 다른 여자와 관계를 맺어 부부 관계가 원만하지 못할 수도 있다. 사주에 정재와 같이 있으면 거의 다른 여자와 관계가 있다고 본다.여성의 경우도 거의 남성의 내용과 같으나 사주가 중화되거나 신왕하면 평생 의식 걱정이 없고 돈 버는 재주가 뛰어나며 선량한 남편을 만난다. 풍류객이나 사업하는 사람과 인연이 많다. 그러나 사주가 약하고 재성과 관성이 많으면 돈을 벌어서 다른 사람에게 도움을 주나 좋지 않은 소리를 들으니 억울하기 짝이 없는 신세가 된다. 그리고 고생을 많이 하며 어렵게 사는 사람이 많다. 
정재,正財,월지에 정재가 있으면 모든 일을 적당히 하는 성향이 있으며 돈이 없으면 짜증을 잘 내는 경향이 있다. ,계산적이나 성실하고 세심하며 조심성이 있고 부지런하다. ,정재가 많으면 게으르고 결단력이 없으며 구두쇠가 많다. ,재성이 많고 신약하면 처에 의지하고 처가살이를 하는 경우가 있고 큰 재물을 관리하며 살아가는 사람도 많다. ,재복이 있고. 남자든 여자든 배우자 복이 있다고 봅니다.​,사주의 일지에 정재가 있으면 음양의 배합이 가장 좋은 것이다. 사주가 중화되면 성격이 명랑 쾌활하고 재물 관리를 잘해서 의식 걱정 없이 풍족하게 산다.남성은 애처가가 많고 미인을 아내로 맞는다. 금전적으로 인색한 편이나 부자로 사는 사람이 많다. 사주에 재성이 별도로 없고 일지가 정재면 부인 이외의 다른 여자와는 교제가 거의 없고 부인만을 사랑한다. 현숙하고 사리에 밝은 명문가나 부잣집의 규수를 맞이하여 행복한 결혼 생활을 한다.여성은 마음이 넓고 보수적인 살마과 인연이 되며 남편이 출세하게 된다. 거의 자수성가해서 부자가 되는 사람이 많다. 여성도 보수적이고 용모가 단정하며 나쁜환경에 빠지지 않는다. 남녀 모두 사주가 중화되어야 좋고 결혼을 하면 부부간에 서로 금슬이 좋고 부자로 살며 행복한 결혼 생활을 할 수 있다. 
편관,偏官,월지에 편관이 있으면 의협심이 있고 모험을 좋아하며 승부욕이 강해서 이기는 것을 좋아하는 사람이 많다. ,결단력이 뛰어나고 친화력도 좋다 총명하고 과감성이 있으나 우월감이 많다. ,편관이 많으면 힘든 직업이나 위험한 직종에 종사하게 된다. ,편관이 강하고 식상이 없으면 성격이 매우 급하다. ,배우자 성향이 강해 스트레스 받는 결혼생활이 됩니다.​,사주에서 편관은 나에게 반항하는 신이다. 일간은 주인이고 일지는 나를 위하여 있어야 되는데 일지가 편관이면 오히려 나의 기운을 극하는 건달. 깡패와 같은 아주 무서운 흉신인 것이다. 그런데 사주에 인성이 있어서 상생이 된다면 배우자가 나에게 귀중한 역할을 하게 되고 잘 대해준다. 하지만 일간이 약하면 부부궁이 아주 나쁘다. 남성은 배우자의 성질이 거칠어서 함부로 다룰 수 없는 사람과 인연이 되어 엄처시하에서 공처가 노릇을 하는 사람이 많고 자식이 속을 썩이게 된다. 그러나 사주가 신강하고 중화가 되어 있으면 오히려 관직에서 성공하고 자식덕을 많이 보게 된다.여성은 군인이나 경찰. 스포츠맨 등과 인연이 있는데 남편의 성질이 괄괄하고 활동적이다. 사주에 정관과 같이 있으면 다른 남성과 부정을 저지르는 등 행실이 좋지 않다. 사주가 관성이 많아 신약하면 결혼 후에 남편 때문에 친정이 망하는 수가 있으며 남편의 마음이 안정되지 않고 부부 관계가 원만하지 못하다. 질투가 많고 자존심이 강해서 누구에게도 지지 않으려고 하고 성질이 급한 편이다. 그러나 사주에 식신이 있어서 편관을 제하거나 인수가 있어 화하게 되면 선량한 남편을 만나 일생 동안 행복하게 살아간다. 사주가 신약하고 일지의 관성이 강하면 남편에게 매를 맞고 살며 남편으로 인하여 친정의 재산이 많이 줄어들고 시집살이를 하게 된다. 도한 몸이 약하고 잔병치레를 많이 하며 가난하게 산다. 식신이 있어 제하면 복이 있고 수명이 길어진다. 
정관,正官,월지에 정관이 있으면 인자하고 관대하며 인격자이고 용모도 바르고 반듯하다. ,정직하고 거짓이 없으며 매사에 바른 것을 좋아하고 명예를 따르는 사람이 많다. ,관살이 혼잡 되면 색을 좋아하고 잔꾀에 능하고 ,충이 되면 관록이 오래 가지 못한다. ,교양있는 배우자를 만나지만. 자신의 행동에도 신경을 써야 합니다.​,사주의 일지에 정관이 있으면 배우자 운이 아주 좋다. 배우자의 용모가 아름답고 단정하며 마음이 바르고 심성이 곱다. 옳지 않은 것과 타협하기 싫어하고 혈통이 바른 집안. 즉 양반 가문의 배우자이다. 상대방의 인격이 높아서 서로 이해하며 존중하고 아내는 내조를 잘한다. 부부간에 서로 맞벌이를 하는 경우가 많아서 경제적으로도 여유가 있다. 그리고 명예를 중요시해서 바른 것이 아니면 좀처럼 행동하지 않는다. 자수성가하며 남의 도움을 받기 싫어하고 오히려 가난한 사람을 도와주며 살아간다. 머리가 총명하고 재주가 있으며 사회적으로 상당한 지위에 오르고 훌륭한 자식을 두게 된다.남성은 부인의 덕을 보고 내조를 받으며. 여성은 훌륭한 남편을 배우자로 맞아 생활이 넉넉하고 사랑을 많이 받으며 남편이 미남인 경우가 많다. 그러나 일지가 충형이 되면 배우자가 안정하지 못하고 심하면 사별하거나 덜어져 사는 수가 있으니 특별히 조심해야 한다. 남성은 일지와 형충이 되면 배우자가 안정하지 못하고 심하면 사별하거나 떨어져 사는 수가 있으니 특별히 조심해야 한다. 남성은 일지와 형충이 되면 자식이 사고를 당하거나 잔병치레를 많이 하게 된다. 일지가 다른 것과 합을 하면 남녀 모두 외정이 있으니 조심해야 한다. 
편인,偏印,월지에 편인이 있으면 활달한 성격에 일치리가 빠르고 재능이 있다. ,기다리고 인내하는 성질이 강하여 학문적으로 성공하는 사람이 많다. ,재능은 있으나 시작은 있고 끝이 없으며 한 가지 일에 전념하지 못하고 변덕이 많다. ,편인이 많으면 치음에는 근면하나 나중에는 태만하고 성질도 음탕하다. ,배우자가 잔소리가 심하다고 봅니다.​,사주 일지에 편인이 있으면. 편인은 식신을 극하는 신이므로 남녀 모두 약한 배우자와 인연이 있다. 남성은 처자와 관계가 좋지 않아 이별의 우려가 있다. 부부 관계에 애정이  결핍되고 여성은 산액이 예상된다. 만년에 쓸쓸한 생활을 하는 사람이 많고. 건강에 유의하여야 한다. 그러나 사주가 시약한 사람은 신체가 병약하므로 편인을 얻게 되면 오히려 현숙하고 착한 배우자를 만나며 처덕과 신랑덕을 크게 보게 된다.사주에서 편인이 또 있으면 걱정이 없고 게으른 편이며 대식가가 많다. 그리고좋은 배우자를 만나기 힘들고 40대 중반에 처자와 이별하는 사람이 많다. 하지만 丙寅일과 壬申일생은 사주가 중화되면 더욱더 복을 받고 행복한 결혼 생활을 한다. 남성은 좋은 가문의 여성을 배우자로 삼게 되는데 현모양처에 내조를 잘하는 아름다운 여인과 인연이 된다. 丁卯일생과 癸酉일생은 어렸을 적에 잔병치레가 많고 부모덕이 별로 없으며 만족스러운 결혼 생활을 하지 못한다. 부부 인연이 좋지 않으니 많은 노력과 이해가 필요하다. 庚辰일생과 辛巳일생도 부모와의 인연이 좋지 않고 배우자의 인연도 좋지 않으니 일찍 결혼하면 중도에 잘못되는 수가 있다. 하지만 여성은 좋은 자녀를 두게 된다. 그렇지만 庚辰일생 여성은 아이를 낳고 살다가 남편이 사고를 당할 수 있으니 조심해야 한다. 庚戌일생은 부모의 덕을 보지 못하며 결혼하여 실패하는 경우가 많으므로 남보다 많은 노력을 해야 된다. 또한 시부모와도 사이가 좋지 않으니 매사에 신경을 써야 한다. 또한 건강이 약해져서 신경 쇠약에 걸리기 쉬우니 조심하여야 한다. 
정인,正印,월지에 정인이 있으면 지혜가 많으며 너그럽고 총명하며 인자하다. ,당당한 자부심의 소유자이며 항상 느긋하고 여유 있는 자태를 지니는 사람이 많다. ,정인이 많으면 게으르고 자기본위가 되기 쉽고 인색하다. ,정인이 충 되면 마음을 잡지 못하고 방황하게 된다. ,자상하나 보수적이고 과잉 보호적인 경향이 나타납니다. ,사주의 일지에 정인이 있으면 아내가 현숙하고 아내의 덕을 크게 입는다.그러니 인수가 많으면 오히려 처덕을 보지 못한다. 여성은 남편과 일찌감치 만나 결혼하게 되는데 총명하고 선량한 사람을 만나게 된다. 사주에 일지가 형충되면 부부 관계에 이상이 생겨서 아이를 낳은 후에 부부관계가 멀어진다. 사주가 신약하면 기질이 고상하며 우아한 사람을 배우자로 만나게 되며. 배우자의 덕을 많이 보게 된다. 연하의 남성과 인연이 많고 양보심과 이해심이 많고 숙녀의 자태를 겸비하였다. 남성은 아내의 권한이 강하고 자수성가하는 사람이 많으며 막학도가 되기도 한다. 그리고 성격은 섬세하고 자상하며 적극성은 없으나 매사 치밀하여 빈틈이 없다. 사주가 신왕하여 정인이 나쁘게 되면 부모덕이 없고 공부를 많이 하지 못한다. 일지가 정인이면 사람됨이 총명하며 항상 생각하는 것이 깊고 성품이 선량하다. 체격이 통통하고 음식을 잘 먹으며 평생동안 병이 적다. 하지만 재물에 집착하여 베푸는데 인색하고 이기주의적인 면이 강해서 남으로부터 비난을 받게 된다. 부부 관계는 서로 겸양지덕을 갖추어서 이해하고 양보해야 행복한 결혼 생활을 할 수 있다. 
