오행,목,화,토,금,수
오행h,木,火,土,金,水
양,① 양목\n② 甲\n③ 寅,① 양화\n② 丙\n③ 巳,① 양토\n② 戊\n③ 辰戌,① 양금\n② 庚\n③ 申,① 양수\n② 壬\n③ 亥
음,① 음목\n② 乙\n③ 卯,① 음화\n② 丁\n③ 午,① 음토\n② 己\n③ 未丑,① 음금\n② 辛\n③ 酉,① 음수\n② 癸\n③ 子
인자,본능인자,감성인자,수렴인자,자율인자,사고인자
심리style,수성/경쟁,탐구/표출,분석/실질,억지/통제,통찰/인식
성정,단순함,정열적,진중함,단호함,복잡함
강점,자존심,친화적,중립적,원칙적,융통성
약점,의기소침,감정기복,무색무취,강기강성,생각과도
장점,환경적응,대인관계,항구성,솔직담백,여유침착
단점,경쟁구도,유시무종,애매모호,편집증적,비개방성
성질(性質),곡직(曲直),염상(炎上),가색(稼穡),종혁(從革),윤하(潤河)
특성,① 생명의 시작을 의미. 땅에서 솟아나는 기운. 곡직(曲直)</br>② 생목(生木)과 사목(死木)을 구분 않고 목(木)의 범주</br>③ 꽃을 피워 열매를 맺고 갈무리. 주변환경 중시</br>④ 본성은 인(仁). 질서 및 순차적 접근방법 선호. 과정 중시</br>⑤ 푸른색. 간장과 담낭. 동쪽,① 염상(炎上). 생명체의 에너지원. 예(禮)의 오상(五常)</br>② 양중양(陽中陽)에 해당하며 순양(純陽). 청년기</br>③ 붉은색. 심장과 소장. 순환기계통. 시력. 남쪽,① 가색(稼穡). 중화지기(中和之氣). 신(信)</br>② 음양의 균형. 고정불변. 중립. 불혹(不惑)의 중년기</br>③ 음토(陰土)는 상냥. 양토(陽土)는 과묵</br>④ 노란색. 위장과 비장. 가운데,① 종혁(從革). 숙살지기(肅殺之氣). 의(義)의 오상(五常)</br>② 지천명(知天命). 규범적. 체계적. 확정적. 모범적</br>③ 흰색. 폐. 대장. 뼈와 근육. 서쪽,① 윤하(潤下). 생명의 원천. 지(智). 요산요수(樂山樂水)</br>② 오행의 끝자락. 음중음(陰中陰). 엄동설한 동토(凍土)</br>③ 생명의 에너지원. 우주의 중심. 브레인(책사. 재사. 현인)</br>④ 검은색. 방광. 신장. 북쪽"
