간지,오행,순위,비견,겁재,식신,상관,편재,정재,편관,정관,편인,정인
갑,양목,간1,갑,을,병,정,무,기,경,신,임,계
을,음목,간2,을,갑,정,병,기,무,신,경,계,임
병,양화,간3,병,정,무,기,경,신,임,계,갑,을
정,음화,간4,정,병,기,무,신,경,계,임,을,갑
무,양토,간5,무,기,경,신,임,계,갑,을,병,정
기,음토,간6,기,무,신,경,계,임,을,갑,정,병
경,양금,간7,경,신,임,계,갑,을,병,정,무,기
신,음금,간8,신,경,계,임,을,갑,정,병,기,무
임,양수,간9,임,계,갑,을,병,정,무,기,경,신
계,음수,간10,계,임,을,갑,정,병,기,무,신,경
자,음수,지1,자,해,묘,인,오,사,축미,진술,유,신
축,음토,지2,축미,진술,유,신,자,해,묘,인,오,사
인,양목,지3,인,묘,사,오,진술,축미,신,유,해,자
묘,음목,지4,묘,인,오,사,축미,진술,유,신,자,해
진,양토,지5,진술,축미,신,유,해,자,인,묘,사,오
사,양화,지6,사,오,진술,축미,신,유,해,자,인,묘
오,음화,지7,오,사,축미,진술,유,신,자,해,묘,인
미,음토,지8,축미,진술,유,신,자,해,묘,인,오,사
신,양금,지9,신,유,해,자,인,묘,사,오,진술,축미
유,음금,지10,유,신,자,해,묘,인,오,사,축미,진술
술,양토,지11,진술,축미,신,유,해,자,인,묘,사,오
해,양수,지12,해,자,인,묘,사,오,진술,축미,신,유
