신살,기본내용,조건(남),조건(여),조건(기타)
간여지동(干與支同),\n▷ 일주가 비겁구조이며 동기(同氣)의 부동화(不同化)로서 자기주장과 선민성이 강함. 아집과 고집 \n▷ 양인가살(羊刃駕殺)과 군겁쟁재(群劫爭財)로서 재관을 극설 \n▷ 간지의 기적 물적 영역간의 충돌(비겁의 충돌) \n▷ 간여지동의 사주는 배우자를 극하는 유형으로 다투거나 소원해짐 (대인관계는 원만하나 유독 배우자 인연은 부정적) \n▷ 간여지동 사주는 배타적(排他的)이며. 연애 운이 빨라 일찍 이성에 눈뜨기 쉽지만 만혼(晩婚)해야 길복 \n▷ 직업상 주말부부 형식 또는 자녀학업 등 관련하여 독립적 생활을 영위하며 각자의 “꼴(본분)”을 지킬때 부부해로,,​\n▷ 여명에 작용하면 불리. 주체성 강하고 양보심 결여. 자만심. 부부불화. 주장관철. 호전적. 지기 싫어함. 무정. 독선적. 실천력. 추진력. 다소 투기적. 목표 분명,\n▷ 행운에서 간여지동을 만나거나 백호 등이 흉살과 겹치면 해로 불가하므로 떨어져 사는 것도 좋음 \n▷ 간여지동이 백호살 및 흉살과 동주하면 사별 가능성 높음 ​\n▷ 행운과 동주하면 공황장애. 초조불안. 갈등. 오만방자. 무례. 상대를 제압하려는 속성 \n▷ 토(土)의 간여지동은 대체로 초혼 실패. 처의 병치레를 암시 \n▷ 특히 양일간의 간여지동은 해로 문제 있음 \n▷ 일지의 왕지 간여지동은 고집과 아집이 셈. 타인충고 배제함 \n▷ 간여지동 가운데 을묘(乙卯) 신유(辛酉) 임자(壬子)일주처럼 비겁이 록왕하면 지출이 많은 유형으로 일득삼실(一得三失)의 전형. 따라서 저축을 생활의 일순위에 두지 않으면 재(財)수성 곤란\n
건록(建祿),\n▷ 금여록 암록 천을귀인 태극귀인과 함께 길성의 대표로서 록(祿) 정록(正祿) 재(財)의 별칭 \n▷ 건록에 관대가 임한다 하여 임관(任官) \n▷ 월지에 있으면 건록(建祿). 일지에 있으면 일록(日祿). 시지에 있으면 귀록격(貴祿格)이라고 하지만. 기본적으로 일지에 록을 보면 귀격에 해당 \n▷ 부귀공명 건강장수길명 배우자덕. 해당 지지의 육친덕. 공직운과 사업운이 강해 승승장구,,,\n▷ 충형해파 또는 공망되면 ​직주이동수. 질병 및 손재수. 법조계 및 의료직 또는 활인종교업에 종사하면 피흉 ​\n▷ 신약사주에 건록이면 길복에 해당함. 특히 록마(祿馬)의 정관정재가 식신을 보면 대성 대길함\n
격각(隔角),\n▷ 격각살(隔角殺)은 지지의 순행배열에 따라 한 칸씩 띄워져 있는 구조로서. 주로 일지와 시지를 우선하여 보지만. 일지를 기준으로 타지(他支)에 적용하며 원형이정 시기에 따라 십성육친 등을 살피는 수단 \n▷ 상문살(喪門殺)의 구조적 배열과 동일 적용 \n▷ 격각된 십성육친은 공방수(空房數)로 동소동거(同所同居) 곤란 \n▷ 격각살은 역마의 기운이 있어 가족과 떨어져 살게 됨을 암시하며. 신체손상 및 방랑기로 직주의 이동이 심함 \n▷ 일지와 연운지의 관계도 격각살이 성립하지만 주로 시지 및 월지를 일지와 비교함. 가령 갑오(甲午) 일생은 신(申)년운 관성이 격각살로서 직업이동 및 변동수,,,​\n▷ 특히 삼재운에 격각살이 동착하면 부부 운이 좋지 않아 불화\n
계비관(鷄飛關),\n▷ 어린이(10세 이하)가 동물의 살생 장면을 보면 흉액이 미침 \n▷ 계비관살의 연운에서 작용하고. 일주가 계비관살이면 취약 \n▷ 심신안정과 정서고양에 불리하여 질병에 노출 위험 \n▷ 연운 계비관살에 폭력행위 및 부부문제 등으로 관재구설,,,\n
고란(孤鸞),\n▷ 신음살(呻吟殺) 공방살(空房殺) 고독살(孤獨殺) \n▷ 을사(乙巳) 정사(丁巳) 신해(辛亥) 무신(戊申) 갑인(甲寅)일주의 여명에 해당. 장간식상이 관성을 극하거나 정관과 편관이 절지 태지 사지에 해당 ​\n▷ 인정 많음. 대인관계 좋음. 이재관심. 기본적으로 배우자에게 잘하는 편이나 감정기복 심함 \n▷ 늦게 결혼하거나 고란살이 있는 남명을 만나면 해로함 \n▷ 가급적 사회생활 및 직업을 통하여 외로운 기운을 분출 \n▷ 일주가 아닌 주중에 있어도 해당 육친 및 시기에 영향 \n▷ 독신의 운명이기 때문에 종교에 귀의하기도 함 \n▷ 원국에 재성과 관성이 청기하면 해로함,,\n▷ 일주가 고란살인 여명은 대체로 남편과 생사 이별하여 홀로 됨. 다혈질. 뒤끝이 없음,\n
고신(孤辰),\n▷ 상처살(喪妻殺) 고신살(孤身殺) 방합적용 \n▷ 남자에게 해당. 부인을 극하고 부부 이별의 의미(애정운) \n▷ 고신살에 해당하는 주중에 부모 또는 아내와 이별 \n▷ 일지의 방합을 기준으로 지지와 비교. 고신살 행운에도 영향 \n▷ 원국의 비겁 또는 인성이 고신이면 만혼하거나 해로불가 \n▷ 원국의 재성이 사 절지에 해당하고 고신이면 결혼 곤란 \n▷ 원국에 고신살과 과숙살이 혼잡하면 부모형제 인연 박함 \n▷ 고과살(孤寡殺)=고신살+과숙살. 사주에 고과살이 있으면 생리사별. 만혼지명(晩婚之命). 남녀 각각 고과살을 가지고 있으면 상애(相愛)함으로써 무방함,,,\n
곡각(曲脚),\n▷ 을기사축(乙 己 巳 丑)의 굽어진 자형 \n▷ 을묘(乙卯) 을사(乙巳) 을미(乙未) 을유(乙酉) 을해(乙亥) 정사(丁巳) 기묘(己卯) 기사(己巳) 기미(己未) 기유(己酉) 기해(己亥) 기축(己丑) 신사(辛巳) 계사(癸巳)일주 및 주중에 해당 \n▷ 살성(殺性)이 강하면 수족장애가 생겨 병약(病弱) \n▷ 소아마비 자폐증 후천적 뇌질환 뇌성마비 등에 취약 ​\n▷ 신경통 및 수술 등의 병력이 많고 사고위험에 노출 \n▷ 전생에 전쟁과 살상을 많이 한 경우의 인과응보설이 지배적이나. 곡각살이 있으면 활인적덕해야 피흉함,,,\n▷ 운에서 충형해파하면 신경통. 관절염. 골절사고 등 발생 \n▷ 현침살과 동주하면 생사의 수술 및 심각한 신체장애 발생\n
과살(戈殺),\n▷ 글자의 부수 및 형상을 보고 지었다 하여 자형살(字形殺)이라 함(평두살 현침살 곡각살 등도 자형살에 해당) \n▷ 무토(戊土)와 술토(戌土)가 일시(日時)에 있는 경우 \n▷ 무술(戊戌)의 한자 부수가 과(戈 ‘창 과’)의 의미를 함축하여 수술과 관련된 흉상(凶相) 및 신체에 흉터를 지니게 됨을 암시 ​\n▷ 성형수술 등을 할 때는 과살이 있는 행운을 피해서 할 것,,,\n
과숙(寡宿),\n▷ 과부살(寡婦殺) 상부살(喪夫殺) 공방살(空房殺) 독수공방살(獨守空房殺)로서 일지의 방합(方合)을 적용 \n▷ 멜랑콜리(melancholy) 즉 우울하고 청승맞은 이미지 ​\n▷ 여자에게 해당. 육친 및 부부 인연이 박함 \n▷ 화개살+과숙살=스님 보살 역마살+과숙살=유랑생활 \n▷ 부부 모두에게 과숙살이 있다면 살이 없어져 해로 \n▷ 원국의 과숙살이 사흉신에 해당하면 해로 불가 \n▷ 원국의 관성이 사절지에 해당하고 과숙이면 해로 불가 \n▷ 고과살(孤寡殺)=고신살+과숙살. 사주에 고과살이 있으면 생리사별 만혼지명(晩婚之命). 남녀 각각 고과살을 가지고 있으면 상애(相愛)함으로써 무방함,,,\n
관귀학관(官貴學官),\n▷ 학문과 직업의 우월성을 나타내는 신살 \n▷ 을사(乙巳) 병신(丙申) 기해(己亥) 경인(庚寅) 임인(壬寅)일주 및 일간과 해당지지 \n▷ 특히 직업에서 발군의 실력발휘로 승진 승급에 절대 유리 \n▷ 사주의 주중에 관귀학관이 없으면 대운과 연운에서 살핌. 다만 행운에서 관귀학관이 충형해파하면 무력 양상 \n▷ 일간의 관성이 십이운성의 장생이 되는 지지가 관귀학관. (戊.己는 양자설 입장 亥水관귀학관은 명리정종설. 申金관귀학관은 연해자평설),,,\n
