간지,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,tbl_code
甲,태극귀인,,,,,,태극귀인,,,,,,da00_dg_ydj
乙,태극귀인,,,,,,태극귀인,,,,,,da00_dg_ydj
丙,,,,태극귀인,,,,,,태극귀인,,,da00_dg_ydj
丁,,,,태극귀인,,,,,,태극귀인,,,da00_dg_ydj
戊,,태극귀인,,,태극귀인,,,태극귀인,,,태극귀인,,da00_dg_ydj
己,,태극귀인,,,태극귀인,,,태극귀인,,,태극귀인,,da00_dg_ydj
庚,,,태극귀인,,,,,,,,,태극귀인,da00_dg_ydj
辛,,,태극귀인,,,,,,,,,태극귀인,da00_dg_ydj
壬,,,,,,태극귀인,,,태극귀인,,,,da00_dg_ydj
癸,,,,,,태극귀인,,,태극귀인,,,,da00_dg_ydj
甲,,뇌공관,,,금여,,,,,,,,da01_dg_dtj
乙,,,,,,금여,뇌공관,,,,,,da01_dg_dtj
丙,뇌공관,,,,,,,금여,,,,,da01_dg_dtj
丁,뇌공관,,,,,,,,금여,,,,da01_dg_dtj
戊,,,,,,,,금여,,,뇌공관,,da01_dg_dtj
己,,,,,,,,,금여,,뇌공관,,da01_dg_dtj
庚,,,뇌공관,,,,,,,,금여,,da01_dg_dtj
辛,,,뇌공관,,,,,,,,,금여,da01_dg_dtj
壬,,금여,,,,,,,,뇌공관,,,da01_dg_dtj
癸,,,금여,,,,,,,,,뇌공관,da01_dg_dtj
甲,,천을귀인,복성귀인 정록 천록귀인,양인,철사관,문창귀인 천주귀인,홍염,천을귀인,,유하 천복귀인 비인,,문곡귀인 암록 학당귀인,da02_dg_jj
乙,문곡귀인 천을귀인,복성귀인,,정록 천록귀인,철사관,,문창귀인 천주귀인 학당귀인 홍염,,천복귀인 천을귀인,,암록 유하 비인,,da02_dg_jj
丙,복성귀인 천복귀인 비인,,문곡귀인 학당귀인 홍염,,,정록 천록귀인 천주귀인,양인,유하 철사관,문창귀인 암록 철사관,천을귀인,,천을귀인,da02_dg_jj
丁,,비인,,문곡귀인,,,정록 천록귀인 천주귀인,암록 철사관 홍염,유하 철사관,문창귀인 복성귀인 천을귀인 학당귀인,,천복귀인 천을귀인,da02_dg_jj
戊,비인,천을귀인,문곡귀인 철사관 학당귀인,천복귀인,홍염,유하 정록 천록귀인,양인,천을귀인,문창귀인 복성귀인 암록 천주귀인,,,,da02_dg_jj
己,천을귀인,비인,천복귀인 철사관,문곡귀인,홍염,,유하 정록 천록귀인,복성귀인 암록,천을귀인,문창귀인 천주귀인 학당귀인,,,da02_dg_jj
庚,,천을귀인,,비인,유하,문곡귀인 암록 학당귀인,복성귀인 천복귀인,천을귀인,정록 천록귀인,양인,철사관 홍염,문창귀인 천주귀인,da02_dg_jj
辛,문창귀인 천주귀인 학당귀인,,천을귀인,유하,암록 비인,복성귀인 천복귀인,문곡귀인 천을귀인,,,정록 천록귀인 홍염,철사관,,da02_dg_jj
壬,홍염 양인,철사관,문창귀인 암록 천주귀인,천을귀인,복성귀인,천을귀인,천복귀인 비인,,문곡귀인 학당귀인,,,유하 정록 천록귀인,da02_dg_jj
癸,정록 천록귀인,암록 철사관,유하,문창귀인 복성귀인 천을귀인 천주귀인 학당귀인,,천복귀인 천을귀인,,비인,홍염,문곡귀인,,,da02_dg_jj
甲,,,,,,관귀학관,,,,,,,da03_dg_jj-dg_hlyj
乙,,,,,,관귀학관,,,,,,,da03_dg_jj-dg_hlyj
丙,,,,,,,,,관귀학관,,,,da03_dg_jj-dg_hlyj
丁,,,,,,,,,관귀학관,,,,da03_dg_jj-dg_hlyj
戊,,,,,,,,,관귀학관,,,관귀학관,da03_dg_jj-dg_hlyj
己,,,,,,,,,관귀학관,,,관귀학관,da03_dg_jj-dg_hlyj
庚,,,관귀학관,,,,,,,,,,da03_dg_jj-dg_hlyj
辛,,,관귀학관,,,,,,,,,,da03_dg_jj-dg_hlyj
壬,,,관귀학관,,,,,,,,,,da03_dg_jj-dg_hlyj
癸,,,관귀학관,,,,,,,,,,da03_dg_jj-dg_hlyj
甲,,,건록,,,,,,,,,,da04_dg_mdtj
乙,,,,건록,,,,,,,,,da04_dg_mdtj
丙,,,,,,건록,,,,,,,da04_dg_mdtj
丁,,,,,,,건록,,,,,,da04_dg_mdtj
戊,,,,,,건록,,,,,,,da04_dg_mdtj
己,,,,,,,건록,,,,,,da04_dg_mdtj
庚,,,,,,,,,건록,,,,da04_dg_mdtj
辛,,,,,,,,,,건록,,,da04_dg_mdtj
壬,,,,,,,,,,,,건록,da04_dg_mdtj
癸,건록,,,,,,,,,,,,da04_dg_mdtj
甲,,,,,,낙정관,,,,,,,da05_dg_tj-dg_hj
乙,낙정관,,,,,,,,,,,,da05_dg_tj-dg_hj
丙,,,,,,,,,낙정관,,,,da05_dg_tj-dg_hj
丁,,,,,,,,,,,낙정관,,da05_dg_tj-dg_hj
戊,,,,낙정관,,,,,,,,,da05_dg_tj-dg_hj
己,,,,,,낙정관,,,,,,,da05_dg_tj-dg_hj
庚,낙정관,,,,,,,,,,,,da05_dg_tj-dg_hj
