0형살 십성,, 작용
비겁,, 형제자매 불화 친구와 관계절단 중독(도박 알코올 등)
식상,, 건강 악화 직업 변동 처가와 반목 여명-산액 자식 복 없음
재성,, 사업 부진 부부불화 부인이 아프다. 부친과 결별 손재수
관성,, 자식이 인연없고 편법성. 인신사고 직주 이동 생사여탈 직업으로 업상 대체 요망
인성,, 모친 병환 문서 및 학업운 불리. 음덕이 없고 학난 학마. 법 의학 학문 성취 양호함
1원국일지, 행운, 병적 증세
寅, 巳, 건강 이상
寅, 申, 구설 신경쇠약
巳, 寅, 성격 변화
巳, 申, 재물손괴
申, 寅, 편두통
申, 巳, 관재구설
寅巳, 申, 골격계 질환 대장 순환기 폐질환
寅申, 巳, 순환기 질환 눈 심장 소장
巳申, 寅, 신경계 간장 임파 갑상선
4자형,, 작용
辰辰,, 이기적 고독 매정 냉정 육친 덕 없음 천라지망
午午,, 주장 강함 다혈질 극단적 잘난 체 잘 나섬 설화
酉酉,, 검봉세금(劍鋒細金) 욱 폭발적 민감 신경질 두통
亥亥,, 게으름 비관 시기질투 의기소침 난관연속 천라지망
0a, 刑, 지나친 욕심과 자만심 그리고 무절제와 무례에 따른 해악이 자신에게 미치는 자화자초(自禍自招)의 의미. 절제력이 약한 사람은 고집과 아집이 강해지고 잔인한 일면을 보이기도 한다. 무관(총포를 다루는 직업군) 및 의료계통 등에 종사하는 사람들은 형살의 영향력을 덜 받게 된다. 행운에서 형살을 만나도 관재구설 신체상해 부부불화 고집불통 안하무인 등의 강한 기운이 발생하여 내외적으로 마찰과 흉사가 발생할 수 있다.
1a, 寅巳申, 자주독립 자수성가 대인관계(충돌). 충(沖)과 마찬가지로 지지에 동요를 일으켜 지장간의 입출에 따른 길흉을 관장한다. 급속한 결과를 추구하는 한편 자만심과 선민성이 강한 특성이 있다. 융통성과 이해력이 부족하고 옹색하며 제 것 챙기기에만 급급하여 마음에 여유가 없는 유형에 속한다.그래서 거만하고 약자를 업신여기며 강자에게 굴신거리는 여유토강(茹柔吐剛)의 전형적 표리부동이 되기 쉽다.
1b, 寅巳申, 수술 및 각종의 사고 등에 취약한데 특히 순환기 계통과 장 질환 등으로 고생하기 쉽다. 특히 여명의 삼형살은 부성(夫星)을 무력하게 만드는 요인이 될 수 있음을 암시하는 가운데 본인이 가주(家主)가 되는 고독지명(孤獨之命)에 놓이기 십상이다. 그래서 삼형살이 놓인 사주 또는 행운에서 삼형살의 영향을 받기 쉬운 사주는 일찍부터 생사여탈의 직업군으로 대체하면 오히려 승승장구할 수 있음이고 또는 그러한 직업군의 사람을 배우자로 만나면 해로할 수 있음인데 그렇다 하여 육친의 흉화가 완전히 없어지는 것은 아니다
2a, 子卯, 독행의 고집과 성취욕이 지나치게 강해 부작용을 발생하기 쉽다. 대체로 묘목(卯木)이 일지에 합작하면 거개는 분리 절단의 흉화를 암시한다고 본다. 마찬가지로 행운에서 자묘(子卯)형이 동착하여도 육친에 따른 가정불화 및 손재수는 피할 수 없다. 특히 묘목(卯木)은 묘파(卯破)와 현침(懸針)의 작용력이 강하여 뇌질환에 따른 두통과 방광 등의 생식기 질환에 악영향을 줄 수 있음이다.
3a, 丑戌未, 자기만의 세상을 그리며 세속과 담 쌓고 살려는 독특한 일면을 보이며 침잠하려는 속성 때문에 이해 타산적이고 속내를 알 수 없는 유형에 속한다. 아울러 해당 고지의 형이 형성되는 시점부터 잘되던 일도 이유 없이 중단되고 고집과 아집이 강해져 주위 사람들과 불화가 잦아 만남과 헤어짐이 반복된다.특히 금전 문제로 인한 구설이 따르게 되어 곤곤해질 수 있고 정신적 불안정한 상태에서 마치 접신한 기운이 감돌듯 영험한 체험을 반복하게 된다. 또 이유 없이 몸이 아프지만 돌아다니면 멀쩡해지는 행려병(行旅病) 증세가 드러나 결국 우울과 조증(燥症)이 반복되어 히스테릭해지며 사소한 일로 언쟁을 벌이고 과격한 행동을 유발한다. 대체로 종교 신앙명으로서 멜랑콜리(melancholy)하며 관조적 태도를 지향하는 가운데 특히 여명은 가주(家主)가 될 팔자로서 고독불화를 면하기 어렵다.하지만 고지의 형은 육친의 흉화와는 별개로 재적 성취에 용이한 구조를 갖추고 있으므로 대체로 재복은 타고났음이다. 그래서 같은 고지에 들어도 관고(官庫)를 별리(別離)의 흉명이라고 하는 반면 재고를 부귀(富貴)의 길명이라고 하는 이유가 여기에 있다. 하지만 깊은 고독과 외로움을 내재하고 있으므로 전문적인 직업영역에 종사하지 않으면 건강을 해치거나 이성난에 시달릴 수 있음이다. 특히 정신 이상 및 과민성 질환이 따를 수 있고 자궁 및 디스크 등의 질환에도 취약하다.
3b, 개고, 한편 축술미(丑戌未) 형은 충(沖)과 형(刑)을 동시에 보듬고 있기 때문에 개고(開庫) 현상에 깊이 관여한다. 이때 입묘(入墓) 현상을 야기하는데 재고(財庫)는 대체로 길성이어도 여타의 육친입묘는 흉화를 암시한다. 물론 충형(沖刑)에 따른 개고(開庫)와 입고(入庫)의 양상은 성득패실(成得敗失)의 동인이 되므로 주의 깊게 살펴야 한다.
