일간,월지,寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑
甲,용신,丙,庚,庚,癸,癸,癸,庚,庚,庚,庚,丁,丁
甲,희신,癸,丙丁戊己,丁壬,丁庚,丁庚,丁庚,丁壬,丙丁,甲丁壬癸,丁丙戊,庚丙,庚丙
乙,용신,丙,丙,癸,癸,癸,癸,丙,癸,癸,丙,丙,丙
乙,희신,癸,癸,丙戊,庚辛,丙,丙,癸巳,丙丁,辛,戊,,
丙,용신,壬,壬,壬,壬,壬,壬,壬,壬,甲,甲,壬,壬
丙,희신,庚,己,甲,庚癸,庚,庚,戊,癸,壬,戊庚壬,戊己,甲
丁,용신,甲,庚,甲,甲,壬,甲,甲,甲,甲,甲,甲,甲
丁,희신,庚,甲,庚,庚,庚癸,壬庚,庚丙戊,庚丙戊,庚戊,庚,庚,庚
戊,용신,丙,丙,甲,甲,壬,癸,丙,丙,甲,甲,丙,丙
戊,희신,甲癸,甲癸,丙癸,丙癸,甲丙,甲丙,甲癸,癸,丙癸,丙,甲,甲
己,용신,丙,甲,丙,癸,癸,癸,丙,丙,甲,丙,丙,丙
己,희신,庚甲,丙癸,甲癸,丙,丙,丙,癸,癸,丙癸,甲戌,甲戌,甲戌
庚,용신,戊,丁,甲,壬,壬,丁,丁,丁,甲,丁,丁,丙
庚,희신,甲壬丙丁,甲庚丙,丁壬癸,戊丙丁,癸,甲,甲,甲丙,壬,丙,甲丙,丁甲
辛,용신,己,壬,壬,壬,壬,壬,壬,壬,壬,壬,丙,丙
辛,희신,壬庚,甲,甲,甲癸,己癸,庚甲,甲戌,甲,甲,丙,戊壬甲,壬戊己
壬,용신,庚,戊,甲,壬,癸,辛,戊,甲,甲,戊,戊,丙
壬,희신,丙戊,辛庚,庚,辛庚癸,庚辛,甲,丁,庚,丙,丙庚,丙,丁甲
癸,용신,辛,庚,丙,辛,庚,庚,丁,辛,辛,庚,丙,丙
癸,희신,丙,辛,辛甲,,辛壬癸,辛壬癸,,丙,甲壬癸,辛戊丁,辛,丁
